text	label
Dok je lijepo snimljena , priča je pojednostavljena kako bi zadovoljila malu djecu .	3
Srbija 17.05.2018 .	1
Radnja prati više likova čije se sudbine isprepliću na najvećoj svjetskoj atrakciji zvanoj ‘ Jurski Svijet ’ u kojem se šeću razne vrste genetski modificiranih dinosarusa koji privlače desetine tisuća tirusta svake godine .	1
Opet se gledatelje dovodi u svijet neodređene , i uvjetno rečeno , bliske budućnosti u kojoj je korporacija pod imenom Delos razvila tehnologiju za proizvodnju robota izgledom , ponašanjem i drugim detaljima gotovo identični ljudima .	1
U kinima od :	1
Trajanje filma : 01 : 46 : 00	1
Možda je to zašto su scenaristi krenuli naopako .	0
U kinima od : 19 May 2017 ( USA )	1
Titlovan Trailer Filma :	1
Na papiru , ovo se može gledati kao na problem , ali u stvarnosti , to je zapravo vrlo pametan potez .	3
Ali u onim posebnim trenucima kada prevladava prevrtanje , on je u stanju pokazati povremene akcije kajanja , čak u jednom trenutku plače .	2
Već sada teži oko miljardu i 400 dolara širom svijeta a vjerujem da će se približiti cifri od 2 milijarde jer izašao tek 12 . juna a na trećem je mjestu filmova sa najvećom zaradom .	2
Godina 2015	1
Postavljen u trenutnoj godini , nova vrsta Terminatora pod nazivom Rev - 9 ( Diego Luna – Marvel Agenti SHIELD TV serije itd . )	1
U kinima od :	1
Osim onih manjih nedostataka koje smo moja djevojka i ja osjećali , još smo uživali u ovom filmu .	3
Bio je smijesan , iskren u svim pravim mjestima i vrlo pametno napravljen .	2
Jedna stvar koju sam primijetio da nedostaje ovdje , jeste da razbijanje četvrtog zida nije bilo često u poređenju sa originalnim filmom i da su ga više zamijenile pripovijesti od strane Deadpool-a .	1
A to je dobar povod za isto tako neumitne usporedbe između njegove filmske i televizijske inkarnacije ( pri čemu se ne treba računati kratkotrajna , brzo ugašena i vjerojatno brže zaboravljena TV-serija Beyond Westworld iz 1980 . godine ) , odnosno jasan prikaz kako su se stvari bitno promijenile od 1973 . godine .	1
Podsjećao je radnjom i stilom malo na ‘ Jumanji ' ( bezvremenski klasik iz devedesetih ) , ali kada se klupko počelo odmotavati , shvatio sam da mi se neće toliko svidjeti .	3
Srbija 02.10.2019 .	1
Sama priča je pojednostavljena tako da dobro radi u kontekstu .	2
Međutim , ugodne tematske ideje omekšavaju prisutnost karikatura i dijaloga .	2
Njegova interakcija s njegovim pomoćnikom Boughom ( koji je ponovno preuzeo ulogu s prvog filma Johnny Englisha iz 2003 . )	1
Film također sadrži poruke o prijateljstvu , snovima i osjećaju svrhe .	2
Danas postoje gore opcije od zabave koja traži istinitost i iskrenost , a to je upravo ono što donosi .	3
Bila je kratka scena za koju mislim da bi nam dali nagovještaj onoga što će doći u trećem filmu ( zakazanom za 3 godine ) .	1
Claire ( Bryce Dallas Howard – Pete ’ s Dragon , The Help itd . )	1
Malcolm redovito ratuje sa svojom kćerkom Madeline ( Morgana Davies ) .	1
Napisala Jill Culton , a režirali Jill Culton i Todd Wilderman ( ko-redatelj ) , „ Abominable “ je odličan animirani film za cijelu obitelj .	2
Trajanje filma : 02 : 04 : 00	1
Tvoj izbor .	1
koji je bio savršena osoba koja je pratila Blue , pametan i inteligentan Raptor .	2
Erik Thomson odmah baca Malcolma kao nestrpljivog i okrutnog , ali nema dovoljno prizora da humanizira svoj karakter .	0
U tome , doduše , danas više nije sam , ali time što je prokrčio put za AMC , Netflix i druge studije , odnosno time sebi može priuštiti da izbaci 100 milijuna dolara ili druge donedavne nezamislive svote na pilot ili gotove sezone TV-serije se ističe u mnogo čemu na isti način na koji se u zlatna hollywoodska vremena MGM , poznat po svojim raskošnim mjuziklima i filmskim epovima “ većim od života ” isticao među drugim poslovnim carstvima losanđeleske tvornice snova .	1
Nije sve tako sivo , naravno , ima par dobrih akcionih momenata vrlo dobro urađenih , pa mogu reći da je i otvaranje filma bilo solidno , ako izuzmemo pojavu glumca Irrfana Khaana koja će mnoge nervirati .	3
Godina : 2018	1
B i H 13.12.2018 .	1
Nisam siguran da li bi to trebalo da bude tako u romanu , jer ga nikad nisam čitao .	1
I ovaj je imao sličnu formulu za koju sam mislio da je pravi uspjeh .	2
Mislio sam da je pilot epizoda pametno izvedena , s uvođenjem likova koji su očito imali prethodno loše iskustvo koje se malo po malo otkrivalo .	2
No , kada su u pitanju HBO i tako ambiciozan projekt , duža pauza koja bi omogućila ulaganje više truda i mogućnosti uklanjanja pogreška se čini opravdanim .	1
Doduše , ovog puta je i Kina pozitivan faktor u vraćanju ‘ Marsovca ’ kući .	2
Postoji propuštena prilika za stvaranje nezaboravnog karaktera s različitim slojevima na ono što motivira njegove postupke .	1
Eddie Redmayne je još uvijek tako simpatičan u ovoj drugoj tranši kao što je bio u prvoj .	2
U međuvremenu , na ekranu se pojavio tajnoviti mutant koji je bio vrlo jak i moćan pod nazivom Cable ( Josh Brolin – Avengers : Infinity War , No Country for Old Men i sl . )	1
Trajanje filma : 01 : 56 : 00	1
Vizualno impresivan , to stoji , ali činjenica je da je ovakav nastavak bio i više nego nepotreban , jer staru slavu bilo je skoro pa nemoguće vratiti i evo nam dokaza .	3
Dok još se smijemo jednoj sali već dolazi druga sto može biti teško za držati korak .	0
Datum izlaska : 21.05.2018 ( svjetska premijera )	1
Sve u svemu , postoji mnoštvo zabavnih akcija koje su se , uglavnom , vješto isprepletene emocionalnom linijom filma – što bi sve sjajno izgledalo na velikom kazališnom platnu .	2
Hoće li Čudesne zvijeri : Grindelwaldova zlodjela : nastaviti oduševljavati kina i postati još jedan klasik JK Rowling ?	1
Veću no što je Charlie Plummer imao u All the Money in the World .	2
Srbija 18.05.2017 .	1
Ovaj film je dao stvarno svjež izgled i možda bih mogao reći re-pripovijedanje o načinu na koji su priče bile poznate nama dugi niz godina .	2
Björn Bengtsson , Ian Peck , Declan Hannigan , Charlie Vincent , Antonio Lujak , Roderick Hill , Nick Wittman	1
Također nam se dopao i Taron Egerton u toj ulozi koju sam osjećao da mu je zaista odgovarala .	2
Žanr : Akcija , Avantura , Sci-Fi	1
Ima samo 10 epizoda koje bi trebalo lako dovršiti ( završio sam tijekom vikenda ) .	1
Unutar svemirskog broda bilo je 15 posada i oko 2000 kolonista koji su bili stavili krigone na spavanje , zbog dugogodišnjeg putovanja do željenog mjesta .	1
Trajanje filma : 01 : 39 : 00	1
Godina : 2018	1
Kasnije , vidimo njezino odbijanje da se odrekne te kada je okružena apatijom i nesposobnošću , ona vraća kontrolu .	1
Žanr : Akcija , Avantura , Komedija	1
Pretpostavljam da je 15 godina previse ? ?	0
Trajanje filma : 01 : 43 : 00	1
Nakon dva Kingsmanova filma i ovoga , možda će u budućnosti dobiti više akcijskih uloga .	2
Thaddeus Valentine ( Hugo Tkanje – Hacksaw Ridge , V for Vendetta i sl . )	1
Zemlja : SAD	1
I kako bi se priča zaključila ?	1
Redatelj : Colin Trevorrow	1
Sam intro u ovu avanturističko-komičnu fantaziju obećavao je jedan topao , sladunjav i lijep film koji bi možda mogao i postati vremenski klasik jer nam je opšte poznato da se u to pretvaraju dobri filmovi za djecu .	3
Ocjena : 6 / 10	1
Trajanje filma : 01 : 37 : 00	1
Grindelwald vjeruje da su čarobnjaci superiorna rasa i trebaju vladati nad mugglima ( smrtnim ljudima ) .	1
Robert Elswit radi odličan posao s kinematografijom , uz snimke bujnog zelenila i strmih brda na znojave obrve od glumaca u Indoneziji .	2
Prva sezona , posebno rana epizoda bila je nevjerojatna s malo mraka , iako je tempo usporavao u sredini .	1
Ove godine kada dođu nećaci jedne od vodećih ljudi iz te kompanije stvari će krenuti po zlu jer će najveći primat sa ubilačkim namjerama biti greškom oslobođen i tada kreće avantura .	1
Trajanje filma : 02 : 08 : 00	1
Inače samo trebate imati otvoren um i maštu kako biste vidjeli koliko je ovaj film bio sjajan .	2
Također je postojao i video od originalnog glumca Jurassic Park filma , tj . Jeff Goldblum ponovo izlaže svoju ulogu kao dr . Ian Malcolm i još jedan vrlo važan lik iz Jurassic Worlda .	1
Korištenje lukova i strela bilo je doista maksimizirano , a neke scene podsjećale su nas na akcijske sekvence Legolasa u Lord of the Rings & Hobbits ili Hawkeye u Avengers .	1
Ipak sam uživao u njegovu nastupu , kao i s dva glavna glumca Here Hilmar ( kojeg nikad prije nisam vidio ) i Robert Sheehanu ( koga volim u filmu Bad Samaritan ) .	2
Ovaj film je doista bio vrlo napet .	2
Producent : Phil Johnston , Jim Reardon	1
bio je samo redovan gospodar u Nottinghamu i imao je ljubavnu vezu s Marianom ( Eve Heweson – Papillon , The Knick TV serije i sl . ) .	1
Redatelj : James Bobin	1
Priča je bila vrlo brzo tempirana , ispunjena mnogim akcijskim sljedovima koji su doista bili dobro napravljeni .	2
Sveukupno , mislim da je ovaj film bio vrlo dobar u trajanju akcijskog slijeda .	2
Kada jedan od članova posade , botaničar Mark Watney , ostane sam sasvim slučajno jer je ostatak istraživačkog tima mislio da je mrtav .	0
Planeta na kojoj živimo ne pripada samo nama takozvanim ljudskim bićima .	1
Studeni 2015 .	1
On ovdje igra sličnu rolu kao i u ‘ Guardiansima ’ i iako nije naučnik niti stari mudar niti je u srodstvu sa Dalay Lamom , najpametniji je , predviđa svaki sledeći korak dinosarusa a uz to vrlo lako osvaja dame .	1
Čak je do kraja bio i kratak trenutak emotivne scene koji je malo utjecao na moju djevojku .	1
I bio sam zadivljen i tijekom finalne borbene scene .	2
Sve biste ih mogli pronaći u ovoj prilično čarobnoj fantastičnoj seriji .	1
The Lego Batman Movie	1
U međuvremenu , Yi obećava sebi da će jednog dana ispuniti želju svog oca i dovršiti svoje putovanje preko Kine .	1
Storm Boy čuva tematsku jezgru izvornog djela australskog autora Colina Thielea .	2
I kao “ zlatni dječak ” Paul , Harris Dickinson ima mnogo veću i zanimljivu ulogu .	2
Iako je prvi film o Wonder Woman možda više bio priča o podrijetlu .	1
Tu je i lijepo uokvirena sekvenca gdje Michael pluta prema tijelu zalaska sunca dok se smjestio na improviziranom splavu .	2
Ovaj unos se udvostručuje na nekim od egzistencijalnih tema predstavljenih u prvom filmu .	1
Postoji općenita parcela – Ralph i Vanellope moraju prikupiti dovoljno novca za kupnju dijela kako bi popravili Vanellopeovu igru - iako je s vremena na vrijeme to lako zaboraviti .	1
I Russel je takođe bio dobro prikazan od strane mladog Julian Dennison .	2
Obrazovanje na putevima Republike od tetke Lydia ( Ann Dowd ) , žene se uče da je smrt društva bila posljedica terorista , homoseksualaca i promiskuta svih .	1
Johnny Depp , igrajući radikalnu nacistu poput zlikovca , ne dobiva dovoljno vremena za ekran i on dolazi kao vrlo stereotipan .	0
To čini da se pitam da li sve buduće Batman filmove trebaju animirati jasni pisci ( Seth Grahame-Smith i Jared Stern i John Whittington ) koji bolje shvataju kako napraviti Batman Film u kojem svako uživa , on onih prošlih filmova kao sto je Batman V Superman .	3
Nazad na film , moja djevojka i ja smo uživali u suspenziji i akcijskim sljedovima kad god su bili aliens okolo i pokušavali ubiti ( ona je dosta često vrisnula kad god je bilo šokantne scene ) .	2
S obzirom na to All the Money in the World je bio prvi film koji sam vidio u kinu ove godine , čini mi se samo da ću završiti svoju godinu s istom pričom i kad sam prvi put vidio ovu novu televizijsku seriju da se reklamira , odmah sam znatiželjan o tome kako će se usporediti s filmom Ridley Scotta .	1
Ocjena Filma : 4,5 / 5	1
Zapravo , moja djevojka i ja smo također raspravljali o sličnosti s poznatim Batmanom .	1
Wonder Woman 1984 ispunjena je nadom , ljubavlju i optimizmom , nudeći impresivnu filmsku superherojsku akciju .	2
Međutim , na krovu svog doma ima malo privatnog prostora u kojem čuva sve stvari koje su joj drage srcu , uključujući i istu violinu .	1
Oh , a možda biste htjeli obratiti pažnju na uvodni niz koji prikazuje naslov Locke & Key kakav je bio različit u svakoj epizodi .	1
Međutim , njegova duboko ranjena izvedba ne može biti pogrešna .	2
Kreatori : Meredith Averill , Carlton Cuse , Aron Eli Coleite	1
Hrvatska 20.09.2018 .	1
Zemlja : Novi Zeland , SAD	1
Međutim , kada se biznismen Max Lord ( Pedro Pascal ) dočepa artefakta , njegova želja ima dalekosežne posljedice .	0
Westworld , koji se velikim dijelom reklamirao i kao svojevrsna zamjena za Igru prijestolja , HBO-vu zlatnu koku koja , usprkos megapopularnosti , ima daleko manje epizoda ispred nego iza sebe , je svoj začetak imao prije nepunih pola stoljeća kao cjelovečernji film nastao upravo u produkciji MGM-a .	1
Srbija 02.02.2017 .	1
Kada se danas govori o Zlatnom dobu televizije , teško je izbjeći , često nezahvalne , usporedbe sa Zlatnim dobom Hollywooda .	1
Bilo je i nekih neželjenih komplikacija s pojavom Willova ( Jamie Dornan – Fifty Shades trilogija , The Fall TV serije itd . )	0
Kao što sam rekao gore , Bode je bio zanimljiv lik ( možda ste ga poznavali kao mladu Georgie u adaptaciji romana Stephena Kinga It and the it It It , drugo poglavlje ) , a ja isto volim Scot Cavendish kao dobrog momka koji je Kinseyu donio svjetlo plus njegov smisao za humor .	2
On igra čovjeka s nevinom kvalitetom povjerenja koji nikad ne odustaje , bez obzira na to što se ludilo odvija oko njega .	1
Upravo na vrijeme za blagdansku sezonu 2018 . , drugi film pogađa kazališta .	1
Očigledno su mu izrazi bili uglavnom neprocjenjivi .	2
Redatelj : Lisa Joy , Jonathan Nolan	1
A Matt Damon kao glavni lik ?	1
Uz pomoć nekih impresivnih likova u sjeni – ali on također ima svoje probleme sa zlouporabom opojnih sredstava .	1
Srbija 15.11.2018 .	1
Srbija –	1
Priča ostaje u velikom dijelu filma .	1
Hrvatska 07.06.2018 .	1
Izradio ga je Simon Beaufoy i dijelom ga je vodio Danny Boyle , a Trust se odvija 1973 . godine i okreće se oko Gettyove dinastije , na čelu sa zloglasnim Johnom Paulom Gettyom ( Donaldom Sutherlandom ) , usredotočujući se prvenstveno na otmicu unuka Pavao ( Harris Dickinson ) i naporima koje je podnijela dječakova majka Gail ( Hilary Swank ) i Gettyov sigurnosni savjetnik Fletcher Chace ( Brendan Fraser ) da ga dovede kući .	1
Redatelj : Phil Johnston , Rich Moore	1
Samoproglašeni vodeći čovjek iz Lego filma se vratio , sada u svom solo filmu .	1
U kinima od : 27 January 2017 ( USA )	1
Stoga ne biste trebali očekivati savršeni scenarij i zaplet , budući da smo već mogli pogađati kako će se priča nastaviti i za nas ne bi bilo iznenađujućih obrta ( ionako to nije trebala biti namjera jer to nije takav film ) .	1
Sve ukupno osjećam da je to bio uzbudljiv avanturistički film s neobičnom pretpostavkom , visokim intenzitetom i brzim tempom , zajedno s nekim sjajnim vizualnim efektima .	2
Film je također ispunjen nekim lijepim pjesmama 80 - ih kao što su I ’ m Your Man od Wham ! , ili Venera iz Bananarama i još nekoliko .	2
Sramežljiv ljubazan šaptač čarobnim stvorenjima prvo oklijeva , ali odluči da poštuje zahtjev svog učitelja .	1
Ovo moraju pogledati svi : obitelj , obožavatelji Disney i još mnogo toga .	2
Bruka i sramota , ko što bi rekla Jana .	0
Godinu kasnije , kada se Robin vratio u Nottingham , stvari su se potpuno razlikovale od šerifa koji koristi svoju moć i prisiljava ljudi da plate porez , uglavnom siromašne .	0
Jedan posebno smiješni segment , prikazan djelomično u nekim trailerima , uključuje Disney princeze .	2
Sacha Baron Cohen koji glumi Vrijeme , ostavio je nekako najjači utisak na mene , jer je dokazao da od totalne budale i cirkusanta može tumačiti jednu kompleksniju i mrvicu ozbiljniju ulogu .	2
Iskreno , bio sam pomalo sumnjičav jer se činilo da djeluje poput natprirodnog tipa horora , ali jednom kad sam je počeo gledati , to je bilo drugačije od onoga što sam očekivao .	1
Priča je trajala samo četiri sedmice za pisanje i postavljena je u regiji Coorong .	1
Serija ide narativno dalje od filma jer se dobro i iskreno uključuje u carstvo Gettya .	2
Bijeg iz zatvora , hvatanje velikih prijetećih mističnih stvorenja i bitka na ledu na kraju sve to donosi neke velike posebne efekte koje publika očekuje od fantasy filmova .	2
Trajanje filma : 02 : 08 : 00	1
Dakle , ako ste ljubitelj izvornog filma , svakako biste ovo trebali gledati .	1
Ponekad se može osjećati kao da film baca reference i sale za nas prebrzo .	0
Njegov filmski stil uređen je u jednostavan nacrt koji odražava Thieleovo poštovanje prema prirodi .	2
Ideja o ikoničnoj dječjoj knjizi bila je zamišljena tijekom putovanja u Nacionalni park Coorong .	1
Osim Rowana Atkinsona i Ben Millera mogli bismo uživati u Emma Thompsonu u manje ozbiljnoj ulozi premijera .	2
B i H 31.10.2019 .	1
Žanr : Drama , SC-Fi	1
Izlažu Čudesnu ženu koja se uglavnom osjeća ugodno sa svojim moćima , a oduševljavajuće je vidjeti junaka kako uživa u svojoj snazi .	2
Godina : 2020	1
Šest godina razlike između originala i nastavka , nedovoljno dobar marketing i gubitak interesa kod publike da gleda fazone Tim Burtona u posve novom izdanju , rezultirala je velikim krahom filma na kino blagajnama .	0
Nećemo imati neizvjesnu ulogu sve do jedne trećine filma .	1
U međuvremenu , premijer je razmišljao o suradnji s američkim tech milijarderom Jasonom Volta ( Jake Lacy – Rampage , The Office TV serije i sl . )	1
Jurassic World	1
Godina 2016	1
U par navrata , kao u slučaju onog vukodlaka , CGI za 2015tu godinu , za vrijeme najnaprednije tehnologije ikad , stvarno je sramotan , tako da ni tehničku stranu filma i te specijalne efekte ne mogu posebno pohvaliti .	0
Ima mnogo drugih viceva koje mogu uhvatiti vaše oči .	2
Srbija 06.12.2018 .	1
Srbija 20.09.2018 .	1
JETI – SNEŽNI ČOVEK	1
Činilo se da kritičari prilično uživaju u ovom hvalu zbog “ rukovanja gubitkom i traumom ” .	0
U isto vrijeme , iz budućnosti je poslana i ženska pojačana humka zvana Grace ( Mackenzie Davis – Tully , Halt i Catch Fire TV serija itd . )	1
U sredini putovanja , posada je dobila poruku od obližnjeg uslužnog planeta kojeg su nekako propustili tijekom prethodnih anketa , do kojeg bi im bilo potrebno samo malo vremena u usporedbi s godinama dosezanja Origae 6 .	1
Nikada u mom životu nisam mogao ni zamisliti takvu stvar , a ovdje u filmu vidimo kako se to stvarno događa .	2
Nedostajalo mu je neke psihološke težnje , neki preokret i doza misterioznosti , a ovako – precijenjen itekako !	0
Godina : 2019	1
Boje koje se koriste u filmu su prilično dosadne i jednolične , uz samo naglašavanje haljina od Kay ( Bryce Dallas Howard ) .	0
Ne znam šta bih više dodao niti oduzeo , osim toplog savjeta da ni ne pomišljate da pogledate ovo mrcvarenje , ovaj splet nesretnih okolnosti , ovo psihološku torturu i zločin nad umjetnošću .	0
S težnjama da vode vojsku protiv ljudske rase , Grindelwald bježi u Pariz gdje vjeruje da je tamo ključ mračne sile koja će mu dati snagu koju treba preuzeti .	1
Jedini vizualni slijed koji posrće je nevjerojatan akcijski dio u kojem je Tom zarobljen na moru tijekom žestoke oluje .	3
Bez obzira na to , akcije ovdje nisu bile potpuno nasilne jer nije pokazivano škrgutanje krvi , ali bile su 1 ili 2 scene koje možda nisu prikladne za djecu ( kao što je osoba koja visi ) zbog čega je kategoriziran PG - 12 .	1
Gadot ponovno donosi jednaku količinu ranjivosti i snage u ulogu Diane koja Wonder Woman daje jedinstvenu dinamičnu prisutnost na ekranu .	2
Nije bilo zastrašujućih slika koje bi vas uplašile ( osim možda maloga u prvoj epizodi ) , dok me ostatak uopće nije prestravio .	1
Da je ovaj film u kojem slučaju jedan od kandidata u Zvezdama Grandu i da se popne na binu i odradi svoje , Jelena Karleuša bi sigurno rekla da nije osjetila ništa i da film nikada neće postati zvijezda , a čak ni Ana Bekuta mu ne bi dala glas za prolaz dalje .	0
Međutim , glavni je dio još uvijek bio tamo , kao Robinova ljubav prema Marian , a njihovi neprijatelji bili su i šerif koji je imao podršku Guy of Gisborne i tako dalje .	1
Robin of Loxley ( Taron Egerton – Kingsman series , Sing etc i sl . )	1
Ali Yi , koja već poznaje bol zbog razdvajanja obitelji zbog smrti svog oca , razumije i Everest-ovu borbu , zbog čega je ublažila njegovu bol dok ona ništa ne može učiniti za sebe .	3
Batman živi život štiteći grad na sve strane .	1
Teško je ne utjecati na vidljivu tugu u njegovim očima .	1
Flora i fauna oboje imaju jednaka prava tražiti isti prostor o kome toliko brinemo .	1
Što kulminira pričom u kojoj je značenje jasno , iako su točke radnje u najboljem slučaju mutne .	3
McConaughey ne mora mnogo toga da kaže ili uradi kad je lose , ali jednom kad se vratio da zarađuje novac , on je jedva dobio vremena da uživa u njemu .	1
bio je jedan od londonskih uglednih čelnika i imao je kćerkicu Katherine ( Leila George ) .	1
Međutim , naglašava da će morati biti oslobođeni .	1
Glavne uloge : Ralph Fiennes , Jenny Slate , Rosario Dawson	1
Pa što bi se dogodilo s ovom skupinom ?	1
Barbara Gordon je imenovana za novog povjerenika , koja je slučajno usvojeno dijete ( Dick Grayson ) , Bruce / Batman mora naučiti da radi kao dio tima , a ne usamljeni osvetnik kako bi se spasio Gotham .	1
Producent : Neal Purvis , Robert Wade	1
